Country,Type,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,g1971,g1972,g1973,g1974,g1975,g1976,g1977,g1978,g1979,g1980,g1981,g1982,g1983,g1984,g1985,g1986,g1987,g1988,g1989,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,g2015,g2016,g2017,g2018,g2019,g2020,g2021,g2022,g2023,g2024,g2025,g2026,g2027,g2028,g2029,g2030,g2031,g2032,g2033
Indonesia,C,631.43,662.52,695.24,736.75,777.11,799.11,836.14,890.08,930.18,977.45,1052.11,1112.25,1114.33,1138.07,1193.87,1200.21,1247.54,1285.62,1335.86,1410.30,1486.32,1561.95,1635.42,1712.81,1811.43,1927.57,2043.31,2105.06,1800.41,1786.45,1845.07,1884.95,1942.22,2007.08,2079.61,2170.74,2261.02,2374.82,2487.59,2572.72,2702.44,2838.36,2978.29,3112.32,3236.58,3362.79,3500.29,3643.08,3796.55,3952.18,3837.59,3946.92,4123.37,4283.56,4455.93,4646.87,4846.96,5053.94,5264.73,5484.52,5708.05,5940.68,6182.80,6434.78,4.92,4.94,5.97,5.48,2.83,4.63,6.45,4.51,5.08,7.64,5.72,.19,2.13,4.90,.53,3.94,3.05,3.91,5.57,5.39,5.09,4.70,4.73,5.76,6.41,6.00,3.02,-14.47,-.78,3.28,2.16,3.04,3.34,3.61,4.38,4.16,5.03,4.75,3.42,5.04,5.03,4.93,4.50,3.99,3.90,4.09,4.08,4.21,4.10,-2.90,2.85,4.47,3.89,4.02,4.29,4.31,4.27,4.17,4.17,4.08,4.08,4.08,4.08
Malaysia,C,1730.87,1864.20,1995.53,2182.44,2315.04,2285.23,2496.84,2635.27,2754.05,2949.73,3102.37,3218.48,3306.55,3407.47,3564.36,3426.11,3369.13,3444.07,3680.61,3918.28,4173.28,4448.77,4719.28,5058.51,5386.13,5768.95,6188.49,6470.88,5839.16,6039.22,6404.45,6278.66,6468.55,6678.57,6965.03,7197.23,7465.77,7799.29,8038.00,7785.41,8228.33,8527.05,8854.66,9129.96,9535.17,9876.00,10170.10,10622.06,10993.54,11338.52,10576.73,10800.10,11623.76,11892.08,12292.84,12724.86,13145.00,13574.92,14005.44,14435.73,14864.94,15336.85,15823.73,16326.07,7.70,7.04,9.37,6.08,-1.29,9.26,5.54,4.51,7.10,5.17,3.74,2.74,3.05,4.60,-3.88,-1.66,2.22,6.87,6.46,6.51,6.60,6.08,7.19,6.48,7.11,7.27,4.56,-9.76,3.43,6.05,-1.96,3.02,3.25,4.29,3.33,3.73,4.47,3.06,-3.14,5.69,3.63,3.84,3.11,4.44,3.57,2.98,4.44,3.50,3.14,-6.72,2.11,7.63,2.31,3.37,3.51,3.30,3.27,3.17,3.07,2.97,3.17,3.17,3.17
Myanmar,C,157.57,160.95,161.70,156.01,161.34,164.94,171.72,178.53,187.06,193.10,204.01,212.85,220.50,225.72,232.25,234.28,227.40,214.22,186.65,190.44,192.53,188.20,203.65,212.88,224.80,236.28,247.54,257.71,268.99,294.38,330.45,363.52,402.71,453.49,509.63,572.81,641.36,711.29,778.63,854.03,929.08,970.82,1030.74,1106.60,1183.71,1253.89,1313.20,1384.42,1464.57,1493.67,1527.96,1242.84,1265.02,1292.99,1315.57,1340.26,1365.21,1389.61,1415.85,1441.19,1466.97,1491.76,1516.97,1542.61,2.14,.47,-3.52,3.42,2.23,4.11,3.97,4.78,3.23,5.65,4.34,3.59,2.37,2.89,.87,-2.93,-5.80,-12.87,2.03,1.10,-2.25,8.21,4.53,5.60,5.11,4.77,4.11,4.38,9.44,12.25,10.01,10.78,12.61,12.38,12.40,11.97,10.90,9.47,9.68,8.79,4.49,6.17,7.36,6.97,5.93,4.73,5.42,5.79,1.99,2.30,-18.66,1.78,2.21,1.75,1.88,1.86,1.79,1.89,1.79,1.79,1.69,1.69,1.69
Philippines,C,1376.31,1412.83,1451.08,1540.07,1554.62,1600.50,1697.18,1746.53,1789.68,1841.78,1886.63,1904.00,1924.76,1914.24,1731.48,1565.23,1578.70,1607.56,1677.07,1740.34,1751.38,1702.93,1673.97,1674.53,1710.85,1750.48,1809.86,1861.23,1811.27,1827.92,1867.80,1882.20,1910.79,1967.00,2052.93,2111.06,2179.90,2277.49,2332.34,2325.67,2454.69,2507.89,2638.72,2771.59,2899.58,3034.17,3199.59,3367.84,3526.08,3682.02,3269.82,3380.55,3581.91,3732.22,3893.65,4052.50,4204.40,4345.24,4486.65,4628.25,4765.18,4911.00,5061.29,5216.17,2.65,2.71,6.13,.95,2.95,6.04,2.91,2.47,2.91,2.44,.92,1.09,-.55,-9.55,-9.60,.86,1.83,4.32,3.77,.63,-2.77,-1.70,.03,2.17,2.32,3.39,2.84,-2.68,.92,2.18,.77,1.52,2.94,4.37,2.83,3.26,4.48,2.41,-.29,5.55,2.17,5.22,5.04,4.62,4.64,5.45,5.26,4.70,4.42,-11.20,3.39,5.96,4.20,4.33,4.08,3.75,3.35,3.25,3.16,2.96,3.06,3.06,3.06
Thailand,C,939.81,957.14,970.80,1042.92,1063.04,1090.37,1165.89,1253.75,1354.95,1398.35,1438.73,1492.35,1541.05,1596.13,1657.23,1704.19,1768.46,1905.13,2123.76,2345.51,2567.80,2750.72,2934.29,3135.86,3344.35,3571.45,3728.86,3586.51,3278.19,3396.93,3520.64,3613.59,3806.37,4051.47,4279.60,4433.00,4627.78,4853.93,4913.25,4857.22,5200.33,5223.14,5579.93,5708.52,5743.93,5903.46,6085.81,6309.24,6547.51,6680.66,6250.13,6332.54,6481.22,6690.27,6925.73,7166.32,7410.49,7654.79,7899.50,8152.29,8405.01,8657.16,8916.87,9184.38,1.84,1.43,7.43,1.93,2.57,6.93,7.54,8.07,3.20,2.89,3.73,3.26,3.57,3.83,2.83,3.77,7.73,11.48,10.44,9.48,7.12,6.67,6.87,6.65,6.79,4.41,-3.82,-8.60,3.62,3.64,2.64,5.33,6.44,5.63,3.58,4.39,4.89,1.22,-1.14,7.06,.44,6.83,2.30,.62,2.78,3.09,3.67,3.78,2.03,-6.44,1.32,2.35,3.23,3.52,3.47,3.41,3.30,3.20,3.20,3.10,3.00,3.00,3.00
Vietnam,C,479.50,485.90,483.89,465.74,465.43,467.64,506.45,560.79,558.24,584.36,552.35,529.05,511.17,494.15,478.17,485.38,487.98,494.31,508.48,532.20,547.79,568.77,606.10,643.03,687.58,740.68,797.30,849.75,886.44,916.46,965.86,1012.48,1062.59,1121.56,1190.81,1264.41,1336.10,1414.01,1476.33,1538.13,1618.76,1701.19,1771.48,1848.17,1938.97,2048.16,2154.53,2274.98,2409.13,2550.25,2595.64,2635.08,2818.42,2968.02,3139.98,3317.27,3505.92,3704.17,3909.96,4127.40,4352.83,4577.60,4813.98,5062.57,1.34,-.41,-3.75,-.07,.47,8.30,10.73,-.45,4.68,-5.48,-4.22,-3.38,-3.33,-3.23,1.51,.54,1.30,2.87,4.66,2.93,3.83,6.56,6.09,6.93,7.72,7.64,6.58,4.32,3.39,5.39,4.83,4.95,5.55,6.17,6.18,5.67,5.83,4.41,4.19,5.24,5.09,4.13,4.33,4.91,5.63,5.19,5.59,5.90,5.86,1.78,1.52,6.96,5.31,5.79,5.65,5.69,5.65,5.56,5.56,5.46,5.16,5.16,5.16
Other Southeast Asia,G,3772.08,4131.30,4558.12,4930.59,5188.27,5248.03,5739.83,6115.07,6491.24,7307.51,7621.05,7655.31,8141.74,8532.58,8954.85,8779.27,8706.70,9270.73,9863.22,10426.16,11009.77,11344.91,11717.20,12527.14,13415.49,13945.22,14575.48,15290.88,14651.57,15107.97,16022.56,15588.26,15892.95,16294.99,17417.28,18262.53,19474.39,20703.11,20672.41,20333.64,22679.43,23660.19,24262.26,24939.34,25439.37,25763.19,26138.42,26908.20,27470.97,27394.93,26140.73,27945.30,28534.79,28741.07,29282.67,29783.05,30324.02,30884.53,31470.14,32066.34,32686.43,33274.88,33874.46,34485.40,9.52,10.33,8.17,5.23,1.15,9.37,6.54,6.15,12.57,4.29,.45,6.35,4.80,4.95,-1.96,-.83,6.48,6.39,5.71,5.60,3.04,3.28,6.91,7.09,3.95,4.52,4.91,-4.18,3.11,6.05,-2.71,1.95,2.53,6.89,4.85,6.64,6.31,-.15,-1.64,11.54,4.32,2.54,2.79,2.00,1.27,1.46,2.95,2.09,-.28,-4.58,6.90,2.11,.72,1.88,1.71,1.82,1.85,1.90,1.89,1.93,1.80,1.80,1.80
Brunei,C,35522.92,36479.76,38795.43,41434.80,44426.68,43094.00,50048.82,53656.73,55376.93,65633.32,58958.01,45402.89,45767.88,44630.83,43565.36,41613.07,39241.02,38805.67,38072.02,36594.54,35964.25,36184.63,36978.67,36093.35,36247.29,36885.89,36974.03,35524.22,34482.27,34710.24,34887.62,35052.20,35623.95,35890.89,35354.64,34822.82,35691.13,35101.38,33807.32,32627.39,32895.98,33545.25,33280.41,32029.79,30712.32,30095.46,28880.93,28804.01,28371.78,29019.06,28907.18,28027.18,26514.87,26971.96,27404.53,27827.20,28231.70,28621.87,28989.18,29332.59,29680.40,30003.02,30329.13,30658.80,2.69,6.35,6.80,7.22,-3.00,16.14,7.21,3.21,18.52,-10.17,-22.99,.80,-2.48,-2.39,-4.48,-5.70,-1.11,-1.89,-3.88,-1.72,.61,2.19,-2.39,.43,1.76,.24,-3.92,-2.93,.66,.51,.47,1.63,.75,-1.49,-1.50,2.49,-1.65,-3.69,-3.49,.82,1.97,-.79,-3.76,-4.11,-2.01,-4.04,-.27,-1.50,2.28,-.39,-3.04,-5.40,1.72,1.60,1.54,1.45,1.38,1.28,1.18,1.19,1.09,1.09,1.09
Laos,C,,,,,,,,,,90.54,98.84,112.49,566.30,572.83,588.31,604.54,616.44,590.76,562.80,624.82,648.20,657.29,674.59,694.66,730.52,760.21,796.21,832.86,847.02,888.58,920.67,955.72,997.86,1044.18,1092.77,1152.33,1231.72,1302.32,1379.14,1456.14,1552.69,1649.26,1752.13,1861.97,1971.74,2082.09,2194.17,2309.44,2416.39,2490.71,2535.19,2587.06,2616.11,2661.91,2725.28,2807.40,2909.73,3013.24,3120.54,3231.65,3343.53,3459.40,3579.28,3703.31,,,,,,,,,,9.16,13.82,403.40,1.15,2.70,2.76,1.97,-4.17,-4.73,11.02,3.74,1.40,2.63,2.98,5.16,4.07,4.73,4.60,1.70,4.91,3.61,3.81,4.41,4.64,4.65,5.45,6.89,5.73,5.90,5.58,6.63,6.22,6.24,6.27,5.90,5.60,5.38,5.25,4.63,3.08,1.79,2.05,1.12,1.75,2.38,3.01,3.65,3.56,3.56,3.56,3.46,3.47,3.47,3.47
Singapore,C,6992.63,7717.84,8585.02,9319.47,9726.38,9967.04,10564.96,11133.59,11855.19,12824.93,13944.10,14712.00,15064.64,16125.97,17198.27,17050.13,17278.01,18838.92,20415.08,21816.18,23256.23,23985.73,24761.49,26743.65,28820.45,30007.58,31354.79,33050.88,31500.36,32492.07,34572.43,33332.09,33732.97,34384.28,36857.40,38646.04,41162.56,43867.86,43702.29,42840.38,48068.54,50075.74,51267.27,52695.88,53718.40,54278.91,54999.85,56764.84,58110.61,57951.23,55146.27,59465.14,61050.11,61570.78,62853.25,64016.62,65250.36,66545.01,67865.34,69211.88,70655.23,71988.34,73346.61,74730.51,10.37,11.24,8.55,4.37,2.47,6.00,5.38,6.48,8.18,8.73,5.51,2.40,7.05,6.65,-.86,1.34,9.03,8.37,6.86,6.60,3.14,3.23,8.01,7.77,4.12,4.49,5.41,-4.69,3.15,6.40,-3.59,1.20,1.93,7.19,4.85,6.51,6.57,-.38,-1.97,12.20,4.18,2.38,2.79,1.94,1.04,1.33,3.21,2.37,-.27,-4.84,7.83,2.67,.85,2.08,1.85,1.93,1.98,1.98,1.98,2.09,1.89,1.89,1.89
South Asia,G,388.10,381.47,366.18,371.71,372.24,390.09,392.17,408.24,424.41,411.87,432.45,448.66,455.42,475.66,485.98,498.94,512.52,521.86,552.23,568.43,586.92,587.39,608.75,621.95,645.34,676.78,708.40,720.95,745.88,787.52,804.69,825.03,840.37,885.66,936.77,991.64,1050.26,1109.26,1128.41,1189.11,1259.04,1303.97,1355.99,1417.55,1494.62,1583.46,1682.94,1774.23,1858.85,1923.78,1812.48,1943.25,2042.45,2117.23,2221.14,2332.02,2451.67,2574.91,2702.22,2833.26,2967.98,3104.12,3246.55,3395.57,-1.71,-4.01,1.51,.14,4.80,.53,4.10,3.96,-2.95,4.99,3.75,1.51,4.45,2.17,2.67,2.72,1.82,5.82,2.93,3.25,.08,3.64,2.17,3.76,4.87,4.67,1.77,3.46,5.58,2.18,2.53,1.86,5.39,5.77,5.86,5.91,5.62,1.73,5.38,5.88,3.57,3.99,4.54,5.44,5.94,6.28,5.42,4.77,3.49,-5.79,7.22,5.10,3.66,4.91,4.99,5.13,5.03,4.94,4.85,4.76,4.59,4.59,4.59
Bangladesh,C,488.55,449.64,378.45,381.82,406.09,386.61,405.12,408.47,429.88,442.96,439.34,445.99,444.03,449.91,460.20,464.50,472.78,479.37,479.76,482.22,497.97,504.82,521.24,534.76,544.68,561.69,576.14,590.77,609.62,626.42,648.34,670.27,685.20,707.12,733.81,771.52,812.75,860.32,902.85,938.23,979.28,1031.10,1086.48,1139.65,1196.26,1261.86,1337.86,1420.43,1516.54,1623.81,1663.42,1761.86,1858.78,1927.45,2017.12,2124.19,2228.75,2337.09,2448.38,2562.54,2679.48,2801.88,2929.87,3063.71,-7.96,-15.83,.89,6.36,-4.80,4.79,.83,5.24,3.04,-.82,1.51,-.44,1.32,2.29,.93,1.78,1.39,.08,.51,3.27,1.38,3.25,2.59,1.85,3.12,2.57,2.54,3.19,2.75,3.50,3.38,2.23,3.20,3.77,5.14,5.34,5.85,4.94,3.92,4.38,5.29,5.37,4.89,4.97,5.48,6.02,6.17,6.77,7.07,2.44,5.92,5.50,3.69,4.65,5.31,4.92,4.86,4.76,4.66,4.56,4.57,4.57,4.57
India,C,363.84,361.52,351.52,355.05,351.48,375.48,373.76,392.79,407.08,378.16,395.60,410.81,416.41,437.68,444.94,458.71,471.03,480.06,516.01,536.17,555.08,550.72,569.97,585.85,613.22,647.48,683.63,698.50,728.59,779.30,795.52,820.05,837.34,888.67,943.98,1003.07,1067.63,1132.54,1150.68,1223.62,1309.25,1359.26,1414.52,1485.46,1575.48,1680.59,1797.53,1901.70,1995.17,2072.28,1930.21,2089.23,2215.27,2315.36,2438.88,2567.44,2710.57,2858.62,3011.91,3170.43,3334.15,3499.69,3673.46,3855.86,-.64,-2.77,1.00,-1.00,6.83,-.46,5.09,3.64,-7.10,4.61,3.84,1.37,5.11,1.66,3.09,2.69,1.92,7.49,3.91,3.53,-.79,3.50,2.79,4.67,5.59,5.58,2.18,4.31,6.96,2.08,3.08,2.11,6.13,6.22,6.26,6.44,6.08,1.60,6.34,7.00,3.82,4.06,5.02,6.06,6.67,6.96,5.79,4.91,3.87,-6.86,8.24,6.03,4.52,5.33,5.27,5.57,5.46,5.36,5.26,5.16,4.97,4.97,4.97
Pakistan,C,507.40,496.29,487.69,509.32,514.65,524.09,539.14,547.14,574.50,576.19,635.06,642.00,662.13,687.82,706.10,740.54,759.19,785.60,821.97,839.60,853.03,872.05,922.09,922.32,935.63,958.46,978.32,963.64,964.40,975.29,987.11,990.34,988.01,1021.15,1075.46,1121.15,1160.77,1188.46,1181.84,1189.21,1180.23,1184.97,1199.57,1224.32,1253.71,1285.50,1329.40,1374.90,1424.38,1408.50,1362.22,1421.66,1456.50,1423.99,1453.21,1506.45,1549.65,1592.27,1636.11,1679.55,1722.49,1763.18,1804.83,1847.46,-2.19,-1.73,4.43,1.05,1.83,2.87,1.48,5.00,.29,10.22,1.09,3.14,3.88,2.66,4.88,2.52,3.48,4.63,2.15,1.60,2.23,5.74,.03,1.44,2.44,2.07,-1.50,.08,1.13,1.21,.33,-.23,3.35,5.32,4.25,3.53,2.39,-.56,.62,-.75,.40,1.23,2.06,2.40,2.54,3.42,3.42,3.60,-1.11,-3.29,4.36,2.45,-2.23,2.05,3.66,2.87,2.75,2.75,2.65,2.56,2.36,2.36,2.36
Other South Asia,G,351.01,345.52,340.16,349.36,357.71,367.30,372.59,381.29,392.87,548.18,596.48,653.70,669.97,690.41,733.50,701.77,732.63,711.24,693.28,664.32,689.17,708.54,706.79,703.89,710.13,741.03,757.08,785.73,793.69,810.28,839.49,825.48,848.22,872.50,897.67,940.15,983.68,1045.08,1092.84,1142.23,1219.75,1273.88,1364.58,1394.66,1438.14,1474.63,1502.98,1543.03,1575.98,1604.04,1518.84,1497.73,1403.65,1431.86,1504.89,1552.05,1599.15,1647.92,1696.73,1746.97,1798.39,1850.74,1904.63,1960.13,-1.56,-1.55,2.70,2.39,2.68,1.44,2.33,3.04,39.53,8.81,9.59,2.49,3.05,6.24,-4.33,4.40,-2.92,-2.53,-4.18,3.74,2.81,-.25,-.41,.89,4.35,2.17,3.78,1.01,2.09,3.60,-1.67,2.76,2.86,2.88,4.73,4.63,6.24,4.57,4.52,6.79,4.44,7.12,2.20,3.12,2.54,1.92,2.66,2.14,1.78,-5.31,-1.39,-6.28,2.01,5.10,3.13,3.03,3.05,2.96,2.96,2.94,2.91,2.91,2.91
Afghanistan,C,,,,,,,,,,412.95,518.73,633.73,652.74,701.67,774.14,599.55,660.82,581.51,478.58,356.81,359.01,359.14,330.10,282.62,252.16,302.53,310.07,318.24,295.80,297.75,289.07,269.72,318.68,327.33,323.02,350.60,358.23,404.30,415.34,490.41,548.57,539.12,594.64,614.05,616.61,611.32,610.74,612.54,609.34,612.42,584.05,456.37,411.56,393.02,393.91,395.08,396.54,398.48,400.43,402.39,404.76,406.74,408.73,410.74,,,,,,,,,,25.62,22.17,3.00,7.50,10.33,-22.55,10.22,-12.00,-17.70,-25.45,.62,.04,-8.09,-14.38,-10.78,19.98,2.49,2.64,-7.05,.66,-2.92,-6.69,18.15,2.72,-1.32,8.54,2.18,12.86,2.73,18.08,11.86,-1.72,10.30,3.26,.42,-.86,-.09,.29,-.52,.51,-4.63,-21.86,-9.82,-4.50,.23,.30,.37,.49,.49,.49,.59,.49,.49,.49
Bhutan,C,,,,,,,,,,,352.22,387.38,386.96,416.23,420.45,423.82,458.29,571.10,580.89,606.66,656.09,642.64,698.34,743.04,782.51,850.31,899.19,931.84,969.35,1028.54,1081.26,1152.31,1258.61,1336.13,1395.22,1475.22,1556.36,1817.10,1879.28,1980.50,2189.50,2335.65,2426.19,2448.93,2560.92,2700.56,2888.09,2989.90,3047.81,3176.05,2828.77,2915.24,3011.12,3179.06,3347.39,3515.12,3688.04,3867.14,4051.11,4239.81,4441.71,4648.81,4865.57,5092.44,,,,,,,,,,,9.98,-.11,7.56,1.01,.80,8.13,24.62,1.71,4.44,8.15,-2.05,8.67,6.40,5.31,8.66,5.75,3.63,4.03,6.11,5.13,6.57,9.23,6.16,4.42,5.73,5.50,16.75,3.42,5.39,10.55,6.67,3.88,.94,4.57,5.45,6.94,3.52,1.94,4.21,-10.93,3.06,3.29,5.58,5.29,5.01,4.92,4.86,4.76,4.66,4.76,4.66,4.66,4.66
Nepal,C,311.97,302.26,305.80,298.49,311.18,309.42,316.48,319.30,326.38,327.01,312.54,331.06,335.66,318.06,340.58,352.84,359.99,357.09,375.00,381.35,388.84,402.79,407.50,411.23,432.95,437.16,451.05,464.51,469.44,481.34,502.47,517.76,510.15,522.28,539.21,552.09,565.52,579.18,608.25,628.58,649.81,661.69,682.63,700.34,731.94,746.58,741.78,793.75,838.09,888.07,859.41,888.57,930.05,960.88,1000.36,1048.24,1099.72,1154.38,1210.60,1269.57,1331.41,1394.93,1461.49,1531.22,-3.11,1.17,-2.39,4.25,-.57,2.28,.89,2.22,.19,-4.43,5.93,1.39,-5.24,7.08,3.60,2.03,-.81,5.02,1.69,1.96,3.59,1.17,.91,5.28,.97,3.18,2.98,1.06,2.53,4.39,3.04,-1.47,2.38,3.24,2.39,2.43,2.42,5.02,3.34,3.38,1.83,3.16,2.59,4.51,2.00,-.64,7.01,5.59,5.96,-3.23,3.39,4.67,3.32,4.11,4.79,4.91,4.97,4.87,4.87,4.87,4.77,4.77,4.77
Sri Lanka,C,742.26,737.31,720.46,757.72,774.65,809.15,822.18,849.77,881.64,919.99,957.00,994.41,1022.30,1063.12,1111.85,1157.65,1191.32,1195.68,1210.92,1223.38,1288.23,1336.26,1378.87,1453.25,1512.09,1574.60,1615.55,1698.76,1759.19,1813.07,1896.79,1845.97,1897.90,1987.18,2071.75,2182.51,2325.80,2460.08,2582.54,2650.66,2835.35,3044.76,3292.65,3373.94,3510.41,3654.94,3787.74,3892.49,3991.11,4053.23,3839.70,3948.97,3617.50,3744.77,4012.62,4166.89,4318.11,4472.79,4628.56,4789.75,4951.79,5119.31,5292.51,5471.56,-.67,-2.29,5.17,2.24,4.45,1.61,3.36,3.75,4.35,4.02,3.91,2.81,3.99,4.58,4.12,2.91,.37,1.27,1.03,5.30,3.73,3.19,5.39,4.05,4.13,2.60,5.15,3.56,3.06,4.62,-2.68,2.81,4.70,4.26,5.35,6.57,5.77,4.98,2.64,6.97,7.39,8.14,2.47,4.04,4.12,3.63,2.77,2.53,1.56,-5.27,2.85,-8.39,3.52,7.15,3.84,3.63,3.58,3.48,3.48,3.38,3.38,3.38,3.38
Oceania,G,21407.52,21790.18,22249.33,22620.91,23185.00,23012.55,23234.28,23522.72,23458.46,24082.27,24432.10,24827.02,25159.40,24476.53,25278.10,26124.07,26776.33,26982.36,27844.77,28297.40,28657.30,28087.53,27857.06,28700.82,29494.94,30201.70,30904.63,31556.68,32383.48,33580.21,34353.73,34558.15,35409.16,35999.55,36932.05,37587.79,38100.39,38883.41,39297.39,39209.45,39383.41,39741.20,40573.93,40979.12,41489.74,41878.94,42419.50,42777.58,43380.52,43591.70,42102.70,43655.20,44548.73,44573.53,45055.22,45799.70,46596.79,47369.93,48112.32,48772.71,49392.91,49980.45,50574.23,51174.29,1.79,2.11,1.67,2.49,-.74,.96,1.24,-.27,2.66,1.45,1.62,1.34,-2.71,3.27,3.35,2.50,.77,3.20,1.63,1.27,-1.99,-.82,3.03,2.77,2.40,2.33,2.11,2.62,3.70,2.30,.60,2.46,1.67,2.59,1.78,1.36,2.06,1.06,-.22,.44,.91,2.10,1.00,1.25,.94,1.29,.84,1.41,.49,-3.42,3.69,2.05,.06,1.08,1.65,1.74,1.66,1.57,1.37,1.27,1.19,1.19,1.19
Australia,C,26589.77,27062.15,27609.24,27900.11,28577.91,28601.33,29037.58,29784.64,29725.05,30597.91,31151.14,31571.86,32154.22,31101.89,32231.00,33570.23,34522.89,34873.70,36274.10,37035.52,37726.26,37032.42,36716.52,37781.14,38898.23,39947.91,40989.04,42101.05,43536.08,45230.24,46452.80,46751.40,48016.30,48864.20,50258.37,51253.98,52002.68,53130.79,53949.03,53879.73,54076.64,54550.60,55732.85,56218.55,56787.05,57230.89,57928.94,58351.41,59150.09,59393.74,57506.67,59692.47,61093.39,61226.34,61932.65,63071.84,64300.28,65509.89,66677.39,67733.66,68739.61,69692.44,70658.47,71637.90,1.78,2.02,1.05,2.43,.08,1.53,2.57,-.20,2.94,1.81,1.35,1.84,-3.27,3.63,4.16,2.84,1.02,4.02,2.10,1.87,-1.84,-.85,2.90,2.96,2.70,2.61,2.71,3.41,3.89,2.70,.64,2.71,1.77,2.85,1.98,1.46,2.17,1.54,-.13,.37,.88,2.17,.87,1.01,.78,1.22,.73,1.37,.41,-3.18,3.80,2.35,.22,1.15,1.84,1.95,1.88,1.78,1.58,1.49,1.39,1.39,1.39
New Zealand,C,20850.50,21284.18,21962.79,23175.90,24034.02,23167.86,23117.96,22128.32,22192.49,22687.77,22938.50,23891.19,23877.51,24396.19,25258.20,25467.52,26024.98,26184.63,26023.34,25940.09,25704.81,25118.93,25115.09,26394.75,27361.69,28214.13,28801.13,29065.88,29096.35,30524.74,31257.49,32041.35,33017.93,33981.30,34927.72,35730.37,36372.41,37107.88,36373.62,35916.76,36045.26,36572.63,37135.70,37756.98,38552.39,39218.36,39877.21,40381.44,41204.66,41449.90,40412.81,42265.60,42661.45,42596.78,43318.70,44094.75,44917.70,45719.80,46445.51,47090.59,47698.51,48266.91,48842.09,49424.12,2.08,3.19,5.52,3.70,-3.60,-.22,-4.28,.29,2.23,1.11,4.15,-.06,2.17,3.53,.83,2.19,.61,-.62,-.32,-.91,-2.28,-.02,5.10,3.66,3.12,2.08,.92,.10,4.91,2.40,2.51,3.05,2.92,2.79,2.30,1.80,2.02,-1.98,-1.26,.36,1.46,1.54,1.67,2.11,1.73,1.68,1.26,2.04,.60,-2.50,4.58,.94,-.15,1.69,1.79,1.87,1.79,1.59,1.39,1.29,1.19,1.19,1.19
Other Oceania,G,2137.97,2220.58,2288.51,2406.66,2413.49,2334.13,2260.61,2256.67,2351.63,2485.92,2475.42,2448.37,2380.94,2368.84,2377.05,2375.43,2437.51,2410.10,2412.54,2394.13,2280.76,2356.71,2544.93,2794.43,2888.23,2848.71,2965.88,2837.29,2740.63,2767.47,2660.40,2594.58,2568.79,2600.70,2639.11,2651.03,2771.14,2871.75,2857.92,2873.06,3043.79,3074.67,3127.84,3201.79,3474.23,3668.33,3762.68,3858.98,3840.20,3957.02,3514.03,3564.89,3697.40,3787.61,3898.88,3971.81,4031.47,4089.87,4148.18,4205.84,4260.28,4316.59,4373.88,4432.17,3.86,3.06,5.16,.28,-3.29,-3.15,-.17,4.21,5.71,-.42,-1.09,-2.75,-.51,.35,-.07,2.61,-1.12,.10,-.76,-4.74,3.33,7.99,9.80,3.36,-1.37,4.11,-4.34,-3.41,.98,-3.87,-2.47,-.99,1.24,1.48,.45,4.53,3.63,-.48,.53,5.94,1.01,1.73,2.36,8.51,5.59,2.57,2.56,-.49,3.04,-11.20,1.45,3.72,2.44,2.94,1.87,1.50,1.45,1.43,1.39,1.29,1.32,1.33,1.33
Fiji,C,2727.55,2849.81,3001.19,3277.42,3309.10,3263.12,3300.83,3412.08,3410.19,3756.46,3625.29,3781.66,3490.10,3287.00,3491.89,3267.08,3450.92,3192.72,3193.51,3399.87,3565.04,3438.34,3616.23,3661.21,3814.80,3876.79,4029.64,3907.28,3922.70,4233.80,4131.55,4184.06,4286.54,4295.17,4486.60,4481.63,4524.69,4443.20,4445.16,4343.35,4433.48,4516.58,4544.65,4724.24,4953.34,5149.11,5244.24,5495.17,5656.33,5685.78,4684.35,4424.65,5043.67,5419.02,5737.10,6000.80,6223.87,6428.44,6633.54,6831.95,7029.48,7218.71,7413.03,7612.58,4.48,5.31,9.20,.97,-1.39,1.16,3.37,-.06,10.15,-3.49,4.31,-7.71,-5.82,6.23,-6.44,5.63,-7.48,.02,6.46,4.86,-3.55,5.17,1.24,4.20,1.63,3.94,-3.04,.39,7.93,-2.42,1.27,2.45,.20,4.46,-.11,.96,-1.80,.04,-2.29,2.07,1.87,.62,3.95,4.85,3.95,1.85,4.78,2.93,.52,-17.61,-5.54,13.99,7.44,5.87,4.60,3.72,3.29,3.19,2.99,2.89,2.69,2.69,2.69
